Harborview Marine Research Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008 Pier & Dock Schedule (synthetic sample data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Contact: Dock Coordinator, Marine Operations - dockops@example.org or ext 0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JANUARY 2008,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR
North Pier West - 410',R/V CLEAR SEXTANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,Tug Wild Gannet,,,Tug Wild Gannet,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',Concrete work near test wells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRUARY 2008,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,,
,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,,
North Pier West - 410',R/V CLEAR SEXTANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARCH 2008,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M
North Pier West - 410',,,,R/V CLEAR SEXTANT,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,,,,,,,,,,,,Barge Silver Voyager,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',Ultrasonic pier test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APRIL 2008,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,
North Pier West - 410',,R/V GOLDEN COMPASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,OSV Wild Star,,,,,OSV Wild Star,,,,,,,,,OSV Wild Star,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',Dock maintenance - restricted access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAY 2008,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S
North Pier West - 410',R/V GOLDEN COMPASS,,,,M/V NORTHERN HARBOR,,,,,,,,M/Y GREEN LANTERN,,,Tug Wild Gannet,M/Y GREEN LANTERN,,OSV AMBER REEF,,,,,,,M/V NORTHERN HARBOR,,,,,
