Harborview Marine Research Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005 Pier & Dock Schedule (synthetic sample data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Contact: Dock Coordinator, Marine Operations - dockops@example.org or ext 0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JANUARY 2005,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M
North Pier West - 410',R/V CLEAR SEXTANT,,,,,,,,,,,,,,,,,,,,,,,M/V NORTHERN HARBOR,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,M/Y GREEN LANTERN,,M/Y GREEN LANTERN,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,,,,M/V QUIET PETREL,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRUARY 2005,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,,,
,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,,,
North Pier West - 410',M/V NORTHERN HARBOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,M/V QUIET PETREL,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARCH 2005,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR
North Pier West - 410',M/V NORTHERN HARBOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',R/V GOLDEN VOYAGER,,,,,,,,,,,,,M/Y GREEN LANTERN,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APRIL 2005,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,
North Pier West - 410',M/V NORTHERN HARBOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,,,,,,,,,,,,OSV Western Reef,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,S/V GOLDEN HERON,,,,,S/V GOLDEN HERON,,,,,,,,,,,,S/V GOLDEN HERON,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAY 2005,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T
North Pier West - 410',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,Barge Silver Voyager,,,,,,,,,,,,Barge Silver Voyager,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,M/V Quiet Petrel,,,,,,,,,,,
South Float West - 90',S/V GOLDEN HERON,,S/V GOLDEN HERON,,,,,,,S/V GOLDEN HERON,,,,,S/V GOLDEN HERON,,,,,,,,S/V GOLDEN HERON,,,,,,,,M/Y Golden Harbor
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUNE 2005,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,
North Pier West - 410',,,,,,,,,,,,,,,,,,,R/V CLEAR SEXTANT,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,Barge Silver Voyager,,,,,,,,,,,,,M/Y GREEN LANTERN,,,M/Y GREEN LANTERN,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,M/V Quiet Petrel,,,,,,,,,,
South Float West - 90',,,,S/V GOLDEN HERON,,,,,,,,,,,,,,,S/V HIGH HERON,,,,,,,S/V GOLDEN HERON,,,,,
South Float East - 90',,,,,,,,,,,,,,OSV AMBER REEF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JULY 2005,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S
North Pier West - 410',R/V CLEAR SEXTANT,,,,,,,,,,,,,,,,,,,,,R/V CLEAR SEXTANT,,,,,,R/V CLEAR SEXTANT,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',F/V LONG BEACON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M/V SALT MERIDIAN,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,S/V GOLDEN HERON,,,,,,,,,,,,,,,,,,,,,S/V GOLDEN HERON,,,,,,,S/V GOLDEN HERON
South Float East - 90',,OSV AMBER REEF,,,,,,,,,,,OSV AMBER REEF,,,,,,,,,,,,OSV AMBER REEF,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUGUST 2005,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W
North Pier West - 410',R/V CLEAR SEXTANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,M/V Deep Drift,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,M/V Deep Drift,,,,,,,M/Y GREEN LANTERN,,,M/V SALT MERIDIAN,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,M/V Deep Drift,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,S/V Far Tern,,F/V Iron Sextant,OSV AMBER REEF,,,,,,,,S/V FAR GANNET,,,OSV AMBER REEF,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTEMBER 2005,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,
North Pier West - 410',R/V CLEAR SEXTANT,,,,,,,,,,,,,,,,,,,,,,M/V CORAL LANTERN,,,,,,,,
North Pier Face - 75',,,,,,,,M/V WILD FATHOM,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,M/V Quiet Petrel,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',M/V DEEP REEF,,,,,,,,,,,,,,,,R/V CLEAR FATHOM,,,,,,,,,,,,,,
,,,,,,,,,,S/V Far Current,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCTOBER 2005,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M
North Pier West - 410',M/V CORAL LANTERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,OSV WILD STAR,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,,,,,,,,,,,,,,,M/Y GREEN LANTERN,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,OSV AMBER REEF,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVEMBER 2005,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,
North Pier West - 410',M/V CORAL LANTERN,,,,,,,,,,,,,R/V CLEAR SEXTANT,,,,,,,,,,,,R/V CLEAR SEXTANT,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',M/Y GREEN LANTERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECEMBER 2005,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S,S,M,T,W,TR,F,S
North Pier West - 410',,,,,R/V CLEAR SEXTANT,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier Face - 75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Pier East - 240',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Channel - 55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float West - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Float East - 90',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
